num,sheet,http / sip ,,,,,http / ftp,,,,,sip / ftp,,,,,http / http ( 50 % diff),,,,,sip / sip (50% diff),,,,,ftp / ftp (50 % diff),,,,,http / http (100% diff),,,,,sip / sip ( 100% diff),,,,,ftp / ftp (100 % diff),,,,
,,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch
34,outputSheet 34,0.5153,0.75,0.8722,0.285,0.5764,0.1099,0.2524,0.8522,0.1281,0.5165,0.1216,0.2508,0.856,0.1458,0.5172,0.9973,0.94,0.9619,0.7895,0.7895,0.9997,1,0.996,0.821,0.8648,0.9993,1,?,0.5499,0.7478,0.9072,0.7516,0.7656,0.2924,0.5787,0.9776,0.845,0.9527,0.565,0.6996,0.5031,1,1,0,0
35,outputSheet 35,0.516,0.7432,0.8923,0.2855,0.5766,0.1077,0.2524,0.8515,0.1288,0.5168,0.1193,0.2475,0.8553,0.1466,0.5172,0.9957,0.9338,0.9371,0.6532,0.6532,0.9997,0.9915,0.996,0.8211,0.8652,0.9992,1,?,0.5335,0.7364,0.9105,0.7961,0.7478,0.2468,0.5529,0.9784,0.8516,0.9527,0.5656,0.6998,0.8565,1,1,0.1275,0.5164
36,outputSheet 36,0.493,0.7179,0.8923,0.2532,0.5958,0.1043,0.2492,0.8509,0.1477,0.5206,0.1204,0.2508,0.856,0.1467,0.5173,0.9997,0.9934,0.9728,0.8275,0.8275,0.9997,1,0.9961,0.8211,0.8651,0.9993,1,?,0.5332,0.739,0.9535,0.8428,0.7849,0.2277,0.5416,0.9774,0.845,0.953,0.5655,0.6999,0.5169,1,1,0,0
37,outputSheet 37,0.5159,0.745,0.881,0.2849,0.5762,0.104,0.2524,0.8478,0.1312,0.5172,0.1156,0.2542,0.8519,0.1484,0.5178,1,1,1,1,1,0.9997,0.9916,0.996,0.8206,0.8649,0.9994,1,?,0.6704,0.808,0.9517,0.8077,0.821,0.241,0.557,0.9782,0.8385,0.9531,0.5653,0.6998,0.6199,1,1,0,0
38,outputSheet 38,0.5166,0.7432,0.8925,0.2853,0.5763,0.1076,0.2524,0.8505,0.1292,0.5167,0.1197,0.2475,0.8545,0.1471,0.5175,0.9957,0.9338,0.9371,0.6532,0.6532,0.9997,0.9915,0.9959,0.821,0.8653,0.9993,1,?,0.5578,0.7532,0.9227,0.7566,0.8332,0.3614,0.6074,0.9787,0.8516,0.9532,0.5655,0.6996,0.8746,1,1,0.2425,0.5344
39,outputSheet 39,0.6502,0.6739,0.8926,0.2121,0.5398,0.12,0.2252,0.849,0.0737,0.5076,0.1173,0.2475,0.8536,0.1477,0.5175,0.8464,0.755,0.8517,0.3058,0.5404,0.9997,0.9915,0.996,0.8213,0.8655,0.9994,1,?,0.6504,0.7944,0.6305,0.7535,0.6888,0.1324,0.5217,0.9778,0.8516,0.9526,0.5649,0.6998,0.9891,1,1,0.3019,0.572
40,outputSheet 40,0.5164,0.7315,0.8938,0.2849,0.5763,0.1049,0.2524,0.8488,0.1311,0.5171,0.1176,0.2475,0.853,0.1487,0.5177,0.9957,0.9338,0.9371,0.6532,0.6532,0.9997,0.9915,0.9961,0.8214,0.8654,0.9991,1,?,0.5091,0.706,0.9098,0.8039,0.7489,0.2468,0.5631,0.9782,0.8516,0.9531,0.5652,0.6997,0.957,1,1,0.2886,0.5547
41,outputSheet 41,0.4899,0.7244,0.8925,0.2718,0.5836,0.1055,0.2485,0.8479,0.1636,0.5241,0.1176,0.2508,0.8539,0.1469,0.5174,1,1,1,1,1,0.9997,0.9915,0.996,0.8218,0.8656,0.9987,1,?,0.3823,0.6369,0.9384,0.7888,0.8039,0.3306,0.5956,0.9784,0.845,0.953,0.5656,0.7001,0.9565,1,1,0.2793,0.5489
42,outputSheet 42,0.4883,0.7134,0.8724,0.2709,0.5836,0.1071,0.2485,0.849,0.1627,0.5242,0.119,0.2508,0.855,0.1466,0.5173,1,1,1,1,1,0.9997,0.9915,0.9959,0.8209,0.865,0.9988,1,?,0.515,0.7146,0.9488,0.784,0.8602,0.3687,0.6118,0.9777,0.845,0.9527,0.5652,0.6996,0.4761,1,1,0,0
43,outputSheet 43,0.5156,0.7432,0.8722,0.2855,0.5763,0.1072,0.2524,0.8513,0.129,0.5167,0.1212,0.2475,0.8553,0.1469,0.5173,0.9957,0.9338,0.9371,0.6532,0.6532,0.9997,0.9915,0.9961,0.8209,0.8652,0.9993,1,?,0.538,0.7437,0.9552,0.7237,0.9425,0.357,0.6343,0.9781,0.8516,0.9531,0.5651,0.6999,0.9988,1,1,0.2685,0.6028
